Nom,Numéro,Série,Bloc,État,Version,Langue Carte,Prix Achat,Prix Actuel
Energy,92/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","38,17"
Energy,93/95,L Appel des Legendes,Appel des Legendes,Played,reverse,fr,"0,00 €","5,84"
Energy,93/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","9,10"
Jirachi,7/111,Rivaux Emergeants,Platine,Played,reverse,fr,"0,00 €","1,97"
Elekid,21/102,Triomphe,Heartgold Soulsilver,Excellent,reverse,fr,"0,00 €","8,72"
Tygnon,57/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","5,08"
Pharamp,23/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","5,98"
Phogleur,31/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,reverse,fr,"0,00 €","8,94"
Balbuto,61/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,reverse,fr,"0,00 €","10,81"
Elecsprint,29/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,reverse,fr,"0,00 €","16,21"
Grahyena,30/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,reverse,fr,"0,00 €","24,04"
Mangriff,23/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,reverse,fr,"0,00 €","28,06"
Rhinocorne,67/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,reverse,fr,"0,00 €","11,36"
Orthese de survie,164/167,Mascarade Crepusculaire,Ecarlate et Violet,Mint,normal,fr,"0,00 €","0,98"
Tampon injuste,165/167,Mascarade Crepusculaire,Ecarlate et Violet,Mint,normal,fr,"0,00 €","6,12"
Poke Vital a,062/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,61"
Poke Vital a,062/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,46"
Zone de neutralisation,060/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,46"
Capsule de redemarrage,158/162,Forces Temporelles,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,43"
Amulette de l'espoir,162/191,Etincelles Deferlantes,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,56"
Detecteur de tresors,131/131,Evolutions Prismatiques,Ecarlate et Violet,Excellent,normal,fr,"0,00 €","0,63"
Energie  de base,230/197,Flammes Obsidiennes,Ecarlate et Violet,Mint,normal,fr,"0,00 €","4,16"
Melodelfe,1/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","8,49"
Hericendre,55/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €","8,39"
Melofee,54/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","2,95"
Nymphali ex,041/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €","5,07"
Aquali,022/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €","0,56"
Voltali,029/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €","0,46"
Pyroli,013/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €","0,43"
Triopikeau,122/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €","4,08"
Leopardus,91/149,Frontieres Franchies,Noir et Blanc,Excellent,normal,fr,"0,00 €","4,57"
Crabaraque,85/149,Frontieres Franchies,Noir et Blanc,Excellent,normal,fr,"0,00 €","4,26"
Zoroark,67/98,Pouvoirs Emergeants,Noir et Blanc,Excellent,normal,fr,"0,00 €","2,60"
Demolosse,10/95,L Appel des Legendes,Appel des Legendes,Good,normal,fr,"0,00 €","16,87"
Maganon,16/95,L Appel des Legendes,Appel des Legendes,Excellent,normal,fr,"0,00 €","10,47"
Hypotrempe,50/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €","15,07"
Kaimorse,6/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,normal,fr,"0,00 €","17,82"
Chartor,12/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,normal,fr,"0,00 €","33,26"
Heledelle,40/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €","20,62"
Meganium,9/115,Forces Cachees,Bloc Ex,Excellent,normal,fr,"0,00 €","17,96"
Nirondelle,86/113,Espece Delta,Bloc Ex,Good,reverse,fr,"0,00 €","11,81"
Ponyta,76/112,Rouge Feu Vert Feuille,Bloc Ex,Excellent,reverse,fr,"0,00 €","26,72"
Armulys,46/107,Deoxys,Bloc Ex,Excellent,reverse,fr,"0,00 €","45,70"
Carvanha,56/107,Deoxys,Bloc Ex,Excellent,reverse,fr,"0,00 €","26,58"
Spoink,76/107,Deoxys,Bloc Ex,Very Good,reverse,fr,"0,00 €","20,23"
Feebas,61/101,Legendes Oubliees,Bloc Ex,Excellent,reverse,en,"0,00 €","16,55"
Kaimorse,15/101,Legendes Oubliees,Bloc Ex,Very Good,normal,fr,"0,00 €","13,32"
Draby,43/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €","14,06"
Barpau,49/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €","12,29"
Tylton,65/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €","17,13"
Irido,232/191,Etincelles Deferlantes,Ecarlate et Violet,Mint,normal,fr,"0,00 €","4,63"
Amis de paldea,137/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,58"
Colza,135/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,02"
Erio,134/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,62"
Pharamp,1/101,Ile des Dragons,Bloc Ex,Excellent,normal,fr,"0,00 €","26,04"
Togekiss,057/189,Astres Radieux,Epee et Bouclier,Mint,normal,fr,"0,00 €","1,06"
Colhomard,2/95,Team Magma Vs Team Aqua,Bloc Ex,Very Good,reverse,fr,"0,00 €","12,50"
Feunard,19/124,Dragons Exaltes,Noir et Blanc,Excellent,normal,fr,"0,00 €","5,14"
Clamiral,41/149,Frontieres Franchies,Noir et Blanc,Excellent,normal,fr,"0,00 €","1,45"
Gigalithe,67/124,Dragons Exaltes,Noir et Blanc,Excellent,normal,fr,"0,00 €","1,48"
Forgella,166/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €","5,34"
Rongrigou,206/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €","3,95"
Tauros de paldea,172/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €","4,66"
Kraknoix,68/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €","16,58"
Groudon,9/95,Team Magma Vs Team Aqua,Bloc Ex,Very Good,normal,fr,"0,00 €","15,67"
Kyogre,3/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,normal,fr,"0,00 €","21,57"
Drattak,19/97,Dragon,Bloc Ex,Good,normal,fr,"0,00 €","3,25"
Libegon,15/97,Dragon,Bloc Ex,Excellent,normal,fr,"0,00 €","4,23"
Lucario,31/147,Vainqueurs Supremes,Platine,Mint,normal,fr,"0,00 €","12,47"
Deoxys,16/107,Deoxys,Bloc Ex,Very Good,normal,fr,"0,00 €","10,52"
Kadabra,32/102,Set de Base,Wizards,Good,normal,fr,"0,00 €","1,90"
Simiabraz,43/111,Rivaux Emergeants,Platine,Played,normal,fr,"0,00 €","0,57"
Pikachu ex,057/191,Etincelles Deferlantes,Ecarlate et Violet,Mint,normal,fr,"0,00 €","3,63"
Colhomard,13/97,Dragon,Bloc Ex,Good,reverse,fr,"0,00 €","26,58"
Feurisson,49/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","2,84"
Chenipotte,81/97,Dragon,Bloc Ex,Very Good,reverse,fr,"0,00 €","9,97"
Feunard,17/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","14,50"
Granbull,26/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","6,58"
Medicham ex,161/142,Couronne Stellaire,Ecarlate et Violet,Mint,normal,en,"0,00 €","0,47"
Farigiraf ex,194/162,Forces Temporelles,Ecarlate et Violet,Mint,normal,en,"0,00 €","1,04"
Apireine,23/90,Indomptable,Heartgold Soulsilver,Excellent,reverse,fr,"0,00 €","12,06"
Malosse,59/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","9,42"
Debugant,36/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €","13,56"
Groudon,6/95,L Appel des Legendes,Appel des Legendes,Mint,reverse,fr,"0,00 €","38,23"
Maganon,16/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","9,81"
Massko,31/97,Dragon,Bloc Ex,Excellent,reverse,fr,"0,00 €","19,42"
Lestombaile,219/198,Ecarlate et Violet,Ecarlate et Violet,Mint,normal,fr,"0,00 €","7,02"
Energie metal,143/147,Aquapolis,Wizards,Played,reverse,fr,"0,00 €","10,19"
Ecrapince,26/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,reverse,fr,"0,00 €","10,78"
Donphan,42/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","2,62"
Tygnon,57/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","5,08"
Musteflott,16/95,Dechainement,Heartgold Soulsilver,Very Good,reverse,fr,"0,00 €","2,99"
Crocrodil,41/95,L Appel des Legendes,Appel des Legendes,Very Good,reverse,fr,"0,00 €","6,79"
Magireve,28/95,L Appel des Legendes,Appel des Legendes,Very Good,reverse,fr,"0,00 €","7,57"
Carmache,48/123,Tresors Mysterieux,Diamant et Perle,Very Good,reverse,fr,"0,00 €","5,02"
Riolu,50/95,L Appel des Legendes,Appel des Legendes,Very Good,reverse,fr,"0,00 €","3,95"
Sorbouboul,29/116,Glaciation Plasma,Noir et Blanc,Excellent,reverse,fr,"0,00 €","0,69"
Psykokwak,44/95,Team Magma Vs Team Aqua,Bloc Ex,Mint,reverse,fr,"0,00 €","49,78"
Hypotrempe,58/97,Dragon,Bloc Ex,Good,reverse,fr,"0,00 €","8,58"
Energy,106/106,Emeraude,Bloc Ex,Good,normal,fr,"0,00 €","2,38"
Energy,102/106,Emeraude,Bloc Ex,Excellent,normal,fr,"0,00 €","6,84"
Groudon,6/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","12,23"
Donphan,7/147,Aquapolis,Wizards,Excellent,reverse,fr,"0,00 €","36,50"
Aquali,52/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €","16,05"
Energy,105/106,Emeraude,Bloc Ex,Mint,normal,fr,"0,00 €","9,06"
Energy,91/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €","44,30"
Point de distorsion,152/165,Expedition,Wizards,Excellent,normal,fr,"0,00 €","5,46"
Evoli,75/147,Aquapolis,Wizards,Excellent,normal,fr,"0,00 €","30,04"
Typhlosion,110/123,Heartgold Soulsilver,Heartgold Soulsilver,Mint,normal,fr,"25,00 €","59,31"
Brasegali,1/106,Emeraude,Bloc Ex,Excellent,reverse,fr,"0,00 €","37,95"
Pyroli,44/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","10,41"
Pyroli,44/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €","9,92"
Felicanis,074/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"0,00 €","12,01"
Ogerpon masque turquoise ex,211/167,Mascarade Crepusculaire,Ecarlate et Violet,Mint,normal,fr,"0,00 €","23,72"
Ampibidou,201/197,Flammes Obsidiennes,Ecarlate et Violet,Mint,normal,fr,"0,00 €","4,36"
Charibari,076/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"0,00 €","7,43"
Art secret de jeannine,088/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"0,00 €","3,58"
Archeomire,170/162,Forces Temporelles,Ecarlate et Violet,Mint,normal,fr,"0,00 €","5,53"
Roc-de-fer ex,192/162,Forces Temporelles,Ecarlate et Violet,Mint,normal,fr,"0,00 €","3,49"
Ronflex,10/101,Ile des Dragons,Bloc Ex,Excellent,normal,fr,"0,00 €","36,06"
Superdofin,225/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,38"
Juge,228/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,31"
Scovilain ex,216/191,Etincelles Deferlantes,Ecarlate et Violet,Mint,normal,fr,"0,00 €","1,96"
Corboss V,161/172,Stars Etincelantes,Epee et Bouclier,Mint,normal,fr,"0,00 €","3,88"
Bourrinos,175/162,Forces Temporelles,Ecarlate et Violet,Mint,normal,fr,"0,00 €","7,97"
Nigirigon,186/167,Mascarade Crepusculaire,Ecarlate et Violet,Mint,normal,fr,"0,00 €","11,50"
Demolosse,066/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"27,00 €","37,08"
Ectoplasma et mimiqui gx,53/181,Duo de Choc,Soleil et Lune,Mint,normal,fr,"0,00 €","196,20"
